__v,_id,capacity,classification,credit,name,users
21,6471ea1d8c0d64b3c26745d4,38,전공,3,Subject-0,"[{""$oid"":""6471ea1e8c0d64b3c26746d0""},{""$oid"":""6471ea1f8c0d64b3c26746f0""},{""$oid"":""6471ea1f8c0d64b3c267470c""},{""$oid"":""6471ea218c0d64b3c267473c""},{""$oid"":""6471ea228c0d64b3c2674780""},{""$oid"":""6471ea238c0d64b3c26747b0""},{""$oid"":""6471ea248c0d64b3c26747b2""},{""$oid"":""6471ea258c0d64b3c26747e8""},{""$oid"":""6471ea258c0d64b3c26747ec""},{""$oid"":""6471ea288c0d64b3c267485c""},{""$oid"":""6471ea298c0d64b3c267487a""},{""$oid"":""6471ea298c0d64b3c2674892""},{""$oid"":""6471ea2c8c0d64b3c267491a""},{""$oid"":""6471ea2c8c0d64b3c267491e""},{""$oid"":""6471ea2e8c0d64b3c267495c""},{""$oid"":""6471ea2e8c0d64b3c267495e""},{""$oid"":""6471ea2e8c0d64b3c2674966""},{""$oid"":""6471ea2f8c0d64b3c2674988""},{""$oid"":""6471ea318c0d64b3c26749d0""},{""$oid"":""6471ea318c0d64b3c26749e8""},{""$oid"":""6471ea328c0d64b3c2674a12""},{""$oid"":""6471ea338c0d64b3c2674a38""},{""$oid"":""6471ea358c0d64b3c2674a94""},{""$oid"":""6471ea378c0d64b3c2674ac8""},{""$oid"":""6471ea378c0d64b3c2674ad8""},{""$oid"":""6471ea378c0d64b3c2674ade""},{""$oid"":""6471ea388c0d64b3c2674b0c""},{""$oid"":""6471ea398c0d64b3c2674b26""},{""$oid"":""6471ea398c0d64b3c2674b2a""},{""$oid"":""6471ea398c0d64b3c2674b2c""},{""$oid"":""6471ea398c0d64b3c2674b30""},{""$oid"":""6471ea3a8c0d64b3c2674b3e""}]"
21,6471ea1d8c0d64b3c26745d6,32,일교,1,Subject-1,"[{""$oid"":""6471ea1d8c0d64b3c26746a2""},{""$oid"":""6471ea1e8c0d64b3c26746c0""},{""$oid"":""6471ea1f8c0d64b3c267470a""},{""$oid"":""6471ea208c0d64b3c2674724""},{""$oid"":""6471ea208c0d64b3c2674730""},{""$oid"":""6471ea218c0d64b3c267473a""},{""$oid"":""6471ea218c0d64b3c267474e""},{""$oid"":""6471ea248c0d64b3c26747d8""},{""$oid"":""6471ea258c0d64b3c26747f6""},{""$oid"":""6471ea268c0d64b3c267481a""},{""$oid"":""6471ea268c0d64b3c2674822""},{""$oid"":""6471ea268c0d64b3c2674826""},{""$oid"":""6471ea278c0d64b3c267482a""},{""$oid"":""6471ea288c0d64b3c267486a""},{""$oid"":""6471ea298c0d64b3c267489a""},{""$oid"":""6471ea2a8c0d64b3c26748bc""},{""$oid"":""6471ea2b8c0d64b3c26748e8""},{""$oid"":""6471ea2b8c0d64b3c26748ec""},{""$oid"":""6471ea2c8c0d64b3c26748f6""},{""$oid"":""6471ea2c8c0d64b3c267490c""},{""$oid"":""6471ea2c8c0d64b3c2674916""},{""$oid"":""6471ea2d8c0d64b3c267492a""},{""$oid"":""6471ea2d8c0d64b3c267493c""},{""$oid"":""6471ea2d8c0d64b3c2674948""},{""$oid"":""6471ea2e8c0d64b3c267494e""},{""$oid"":""6471ea2f8c0d64b3c267498c""},{""$oid"":""6471ea308c0d64b3c26749a0""},{""$oid"":""6471ea308c0d64b3c26749be""},{""$oid"":""6471ea318c0d64b3c26749e4""},{""$oid"":""6471ea328c0d64b3c26749f8""},{""$oid"":""6471ea328c0d64b3c2674a14""},{""$oid"":""6471ea348c0d64b3c2674a50""}]"
23,6471ea1d8c0d64b3c26745d8,35,학기,1,Subject-2,"[{""$oid"":""6471ea1e8c0d64b3c26746be""},{""$oid"":""6471ea1e8c0d64b3c26746e0""},{""$oid"":""6471ea1f8c0d64b3c26746ee""},{""$oid"":""6471ea1f8c0d64b3c26746f0""},{""$oid"":""6471ea218c0d64b3c2674742""},{""$oid"":""6471ea228c0d64b3c2674780""},{""$oid"":""6471ea238c0d64b3c26747a4""},{""$oid"":""6471ea248c0d64b3c26747cc""},{""$oid"":""6471ea258c0d64b3c26747e4""},{""$oid"":""6471ea258c0d64b3c26747ee""},{""$oid"":""6471ea258c0d64b3c26747f4""},{""$oid"":""6471ea268c0d64b3c2674814""},{""$oid"":""6471ea288c0d64b3c267486a""},{""$oid"":""6471ea2b8c0d64b3c26748da""},{""$oid"":""6471ea2b8c0d64b3c26748e8""},{""$oid"":""6471ea2c8c0d64b3c2674910""},{""$oid"":""6471ea2d8c0d64b3c267493e""},{""$oid"":""6471ea318c0d64b3c26749de""},{""$oid"":""6471ea318c0d64b3c26749e8""},{""$oid"":""6471ea328c0d64b3c2674a00""},{""$oid"":""6471ea338c0d64b3c2674a3a""},{""$oid"":""6471ea348c0d64b3c2674a56""},{""$oid"":""6471ea358c0d64b3c2674a72""},{""$oid"":""6471ea358c0d64b3c2674a80""},{""$oid"":""6471ea358c0d64b3c2674a8c""},{""$oid"":""6471ea368c0d64b3c2674aa6""},{""$oid"":""6471ea368c0d64b3c2674aa8""},{""$oid"":""6471ea378c0d64b3c2674ac0""},{""$oid"":""6471ea378c0d64b3c2674ace""},{""$oid"":""6471ea378c0d64b3c2674ada""},{""$oid"":""6471ea378c0d64b3c2674ade""},{""$oid"":""6471ea388c0d64b3c2674ae8""},{""$oid"":""6471ea388c0d64b3c2674af6""},{""$oid"":""6471ea388c0d64b3c2674b0a""},{""$oid"":""6471ea388c0d64b3c2674b0e""}]"
22,6471ea1d8c0d64b3c26745da,30,전선,1,Subject-3,"[{""$oid"":""6471ea1d8c0d64b3c26746b2""},{""$oid"":""6471ea1f8c0d64b3c267470a""},{""$oid"":""6471ea228c0d64b3c2674768""},{""$oid"":""6471ea238c0d64b3c2674798""},{""$oid"":""6471ea248c0d64b3c26747d4""},{""$oid"":""6471ea258c0d64b3c26747f0""},{""$oid"":""6471ea268c0d64b3c267481a""},{""$oid"":""6471ea2a8c0d64b3c26748a6""},{""$oid"":""6471ea2a8c0d64b3c26748c2""},{""$oid"":""6471ea2d8c0d64b3c2674944""},{""$oid"":""6471ea2e8c0d64b3c267494e""},{""$oid"":""6471ea2e8c0d64b3c267495c""},{""$oid"":""6471ea2f8c0d64b3c267497e""},{""$oid"":""6471ea2f8c0d64b3c2674988""},{""$oid"":""6471ea308c0d64b3c26749ba""},{""$oid"":""6471ea328c0d64b3c2674a02""},{""$oid"":""6471ea338c0d64b3c2674a38""},{""$oid"":""6471ea338c0d64b3c2674a3c""},{""$oid"":""6471ea348c0d64b3c2674a5a""},{""$oid"":""6471ea358c0d64b3c2674a86""},{""$oid"":""6471ea368c0d64b3c2674a9c""},{""$oid"":""6471ea368c0d64b3c2674ab2""},{""$oid"":""6471ea378c0d64b3c2674ac6""},{""$oid"":""6471ea378c0d64b3c2674acc""},{""$oid"":""6471ea378c0d64b3c2674ad6""},{""$oid"":""6471ea388c0d64b3c2674ae8""},{""$oid"":""6471ea388c0d64b3c2674b0e""},{""$oid"":""6471ea398c0d64b3c2674b12""},{""$oid"":""6471ea398c0d64b3c2674b28""},{""$oid"":""6471ea398c0d64b3c2674b2a""}]"
19,6471ea1d8c0d64b3c26745dc,28,공교,2,Subject-4,"[{""$oid"":""6471ea1e8c0d64b3c26746c4""},{""$oid"":""6471ea1e8c0d64b3c26746e2""},{""$oid"":""6471ea1f8c0d64b3c2674700""},{""$oid"":""6471ea218c0d64b3c267473c""},{""$oid"":""6471ea218c0d64b3c2674754""},{""$oid"":""6471ea218c0d64b3c2674758""},{""$oid"":""6471ea228c0d64b3c267476a""},{""$oid"":""6471ea248c0d64b3c26747b6""},{""$oid"":""6471ea278c0d64b3c267483e""},{""$oid"":""6471ea288c0d64b3c2674850""},{""$oid"":""6471ea288c0d64b3c267485a""},{""$oid"":""6471ea2a8c0d64b3c26748c8""},{""$oid"":""6471ea2d8c0d64b3c2674924""},{""$oid"":""6471ea2d8c0d64b3c2674940""},{""$oid"":""6471ea318c0d64b3c26749c8""},{""$oid"":""6471ea318c0d64b3c26749d0""},{""$oid"":""6471ea328c0d64b3c2674a0a""},{""$oid"":""6471ea328c0d64b3c2674a12""},{""$oid"":""6471ea338c0d64b3c2674a1e""},{""$oid"":""6471ea338c0d64b3c2674a2a""},{""$oid"":""6471ea338c0d64b3c2674a38""},{""$oid"":""6471ea348c0d64b3c2674a52""},{""$oid"":""6471ea348c0d64b3c2674a6a""},{""$oid"":""6471ea358c0d64b3c2674a72""},{""$oid"":""6471ea378c0d64b3c2674ad0""},{""$oid"":""6471ea378c0d64b3c2674ad4""},{""$oid"":""6471ea378c0d64b3c2674adc""},{""$oid"":""6471ea388c0d64b3c2674b06""}]"
22,6471ea1d8c0d64b3c26745de,31,일교,1,Subject-5,"[{""$oid"":""6471ea1d8c0d64b3c26746b0""},{""$oid"":""6471ea1e8c0d64b3c26746d8""},{""$oid"":""6471ea1f8c0d64b3c26746f2""},{""$oid"":""6471ea1f8c0d64b3c267470e""},{""$oid"":""6471ea218c0d64b3c267474c""},{""$oid"":""6471ea218c0d64b3c2674750""},{""$oid"":""6471ea228c0d64b3c2674766""},{""$oid"":""6471ea258c0d64b3c26747fc""},{""$oid"":""6471ea288c0d64b3c2674858""},{""$oid"":""6471ea288c0d64b3c2674874""},{""$oid"":""6471ea2b8c0d64b3c26748f2""},{""$oid"":""6471ea2c8c0d64b3c2674918""},{""$oid"":""6471ea2f8c0d64b3c2674986""},{""$oid"":""6471ea308c0d64b3c267499c""},{""$oid"":""6471ea328c0d64b3c2674a04""},{""$oid"":""6471ea328c0d64b3c2674a06""},{""$oid"":""6471ea338c0d64b3c2674a28""},{""$oid"":""6471ea338c0d64b3c2674a3a""},{""$oid"":""6471ea348c0d64b3c2674a54""},{""$oid"":""6471ea348c0d64b3c2674a5a""},{""$oid"":""6471ea348c0d64b3c2674a6a""},{""$oid"":""6471ea358c0d64b3c2674a90""},{""$oid"":""6471ea368c0d64b3c2674aa0""},{""$oid"":""6471ea378c0d64b3c2674ac6""},{""$oid"":""6471ea378c0d64b3c2674ad6""},{""$oid"":""6471ea378c0d64b3c2674ae0""},{""$oid"":""6471ea388c0d64b3c2674b00""},{""$oid"":""6471ea388c0d64b3c2674b04""},{""$oid"":""6471ea388c0d64b3c2674b0a""},{""$oid"":""6471ea398c0d64b3c2674b1e""},{""$oid"":""6471ea398c0d64b3c2674b26""}]"
23,6471ea1d8c0d64b3c26745e0,38,일교,1,Subject-6,"[{""$oid"":""6471ea1d8c0d64b3c26746bc""},{""$oid"":""6471ea1e8c0d64b3c26746cc""},{""$oid"":""6471ea1f8c0d64b3c26746ee""},{""$oid"":""6471ea1f8c0d64b3c267470c""},{""$oid"":""6471ea208c0d64b3c2674736""},{""$oid"":""6471ea218c0d64b3c267473a""},{""$oid"":""6471ea218c0d64b3c2674756""},{""$oid"":""6471ea228c0d64b3c2674770""},{""$oid"":""6471ea228c0d64b3c2674782""},{""$oid"":""6471ea248c0d64b3c26747ba""},{""$oid"":""6471ea298c0d64b3c2674890""},{""$oid"":""6471ea2a8c0d64b3c26748c2""},{""$oid"":""6471ea2b8c0d64b3c26748e0""},{""$oid"":""6471ea2f8c0d64b3c267498a""},{""$oid"":""6471ea318c0d64b3c26749c6""},{""$oid"":""6471ea318c0d64b3c26749d6""},{""$oid"":""6471ea328c0d64b3c26749f0""},{""$oid"":""6471ea328c0d64b3c2674a06""},{""$oid"":""6471ea328c0d64b3c2674a0c""},{""$oid"":""6471ea338c0d64b3c2674a3a""},{""$oid"":""6471ea338c0d64b3c2674a3c""},{""$oid"":""6471ea348c0d64b3c2674a46""},{""$oid"":""6471ea358c0d64b3c2674a88""},{""$oid"":""6471ea368c0d64b3c2674aa6""},{""$oid"":""6471ea368c0d64b3c2674aac""},{""$oid"":""6471ea368c0d64b3c2674abe""},{""$oid"":""6471ea378c0d64b3c2674ada""},{""$oid"":""6471ea388c0d64b3c2674af0""},{""$oid"":""6471ea398c0d64b3c2674b16""},{""$oid"":""6471ea398c0d64b3c2674b2e""},{""$oid"":""6471ea398c0d64b3c2674b30""},{""$oid"":""6471ea3a8c0d64b3c2674b3c""},{""$oid"":""6471ea3a8c0d64b3c2674b40""}]"
18,6471ea1d8c0d64b3c26745e2,22,전선,1,Subject-7,"[{""$oid"":""6471ea1d8c0d64b3c26746a0""},{""$oid"":""6471ea1e8c0d64b3c26746ce""},{""$oid"":""6471ea1f8c0d64b3c26746fa""},{""$oid"":""6471ea1f8c0d64b3c2674708""},{""$oid"":""6471ea208c0d64b3c2674726""},{""$oid"":""6471ea218c0d64b3c2674758""},{""$oid"":""6471ea238c0d64b3c2674792""},{""$oid"":""6471ea238c0d64b3c26747a4""},{""$oid"":""6471ea248c0d64b3c26747be""},{""$oid"":""6471ea248c0d64b3c26747c4""},{""$oid"":""6471ea288c0d64b3c2674872""},{""$oid"":""6471ea298c0d64b3c2674882""},{""$oid"":""6471ea298c0d64b3c2674884""},{""$oid"":""6471ea2b8c0d64b3c26748e0""},{""$oid"":""6471ea2c8c0d64b3c2674902""},{""$oid"":""6471ea2d8c0d64b3c267492a""},{""$oid"":""6471ea2d8c0d64b3c267493a""},{""$oid"":""6471ea2f8c0d64b3c2674974""},{""$oid"":""6471ea308c0d64b3c267499e""},{""$oid"":""6471ea318c0d64b3c26749cc""},{""$oid"":""6471ea338c0d64b3c2674a34""},{""$oid"":""6471ea348c0d64b3c2674a62""}]"
25,6471ea1d8c0d64b3c26745e4,38,공교,2,Subject-8,"[{""$oid"":""6471ea1f8c0d64b3c26746ec""},{""$oid"":""6471ea1f8c0d64b3c2674700""},{""$oid"":""6471ea1f8c0d64b3c2674708""},{""$oid"":""6471ea208c0d64b3c2674724""},{""$oid"":""6471ea218c0d64b3c2674756""},{""$oid"":""6471ea238c0d64b3c26747a4""},{""$oid"":""6471ea248c0d64b3c26747cc""},{""$oid"":""6471ea258c0d64b3c26747da""},{""$oid"":""6471ea258c0d64b3c26747f8""},{""$oid"":""6471ea278c0d64b3c2674838""},{""$oid"":""6471ea288c0d64b3c2674852""},{""$oid"":""6471ea298c0d64b3c267489a""},{""$oid"":""6471ea2a8c0d64b3c26748c0""},{""$oid"":""6471ea2a8c0d64b3c26748c8""},{""$oid"":""6471ea2d8c0d64b3c2674920""},{""$oid"":""6471ea2e8c0d64b3c267494e""},{""$oid"":""6471ea2e8c0d64b3c2674962""},{""$oid"":""6471ea308c0d64b3c26749b0""},{""$oid"":""6471ea308c0d64b3c26749ba""},{""$oid"":""6471ea308c0d64b3c26749bc""},{""$oid"":""6471ea328c0d64b3c26749f0""},{""$oid"":""6471ea328c0d64b3c2674a10""},{""$oid"":""6471ea338c0d64b3c2674a22""},{""$oid"":""6471ea338c0d64b3c2674a40""},{""$oid"":""6471ea348c0d64b3c2674a46""},{""$oid"":""6471ea348c0d64b3c2674a4c""},{""$oid"":""6471ea358c0d64b3c2674a82""},{""$oid"":""6471ea368c0d64b3c2674a9c""},{""$oid"":""6471ea368c0d64b3c2674ab2""},{""$oid"":""6471ea368c0d64b3c2674ab4""},{""$oid"":""6471ea368c0d64b3c2674ab8""},{""$oid"":""6471ea368c0d64b3c2674aba""},{""$oid"":""6471ea378c0d64b3c2674aca""},{""$oid"":""6471ea378c0d64b3c2674ad0""},{""$oid"":""6471ea378c0d64b3c2674ae2""},{""$oid"":""6471ea388c0d64b3c2674afc""},{""$oid"":""6471ea388c0d64b3c2674b10""},{""$oid"":""6471ea398c0d64b3c2674b34""}]"
20,6471ea1d8c0d64b3c26745e6,28,전공,2,Subject-9,"[{""$oid"":""6471ea1d8c0d64b3c26746a6""},{""$oid"":""6471ea208c0d64b3c2674720""},{""$oid"":""6471ea218c0d64b3c2674750""},{""$oid"":""6471ea228c0d64b3c267477a""},{""$oid"":""6471ea228c0d64b3c267477c""},{""$oid"":""6471ea248c0d64b3c26747c0""},{""$oid"":""6471ea258c0d64b3c26747e0""},{""$oid"":""6471ea258c0d64b3c26747f2""},{""$oid"":""6471ea268c0d64b3c267480a""},{""$oid"":""6471ea298c0d64b3c267488a""},{""$oid"":""6471ea298c0d64b3c267489e""},{""$oid"":""6471ea298c0d64b3c26748a0""},{""$oid"":""6471ea2c8c0d64b3c2674906""},{""$oid"":""6471ea2f8c0d64b3c2674990""},{""$oid"":""6471ea308c0d64b3c26749b2""},{""$oid"":""6471ea318c0d64b3c26749ec""},{""$oid"":""6471ea348c0d64b3c2674a4e""},{""$oid"":""6471ea348c0d64b3c2674a5c""},{""$oid"":""6471ea348c0d64b3c2674a5e""},{""$oid"":""6471ea358c0d64b3c2674a6e""},{""$oid"":""6471ea358c0d64b3c2674a84""},{""$oid"":""6471ea358c0d64b3c2674a8a""},{""$oid"":""6471ea368c0d64b3c2674ab0""},{""$oid"":""6471ea368c0d64b3c2674abc""},{""$oid"":""6471ea378c0d64b3c2674ac0""},{""$oid"":""6471ea378c0d64b3c2674ac2""},{""$oid"":""6471ea388c0d64b3c2674aee""},{""$oid"":""6471ea388c0d64b3c2674b08""}]"
